kenteken;voertuigsoort;merk;handelsbenaming;datum_tenaamstelling;inrichting;eerste_kleur;tweede_kleur;aantal_cilinders;massa_ledig_voertuig;massa_rijklaar;datum_eerste_toelating;datum_eerste_tenaamstelling_in_nederland;wacht_op_keuren;wam_verzekerd;aantal_deuren;aantal_wielen;afstand_hart_koppeling_tot_achterzijde_voertuig;afstand_voorzijde_voertuig_tot_hart_koppeling;lengte;breedte;europese_voertuigcategorie;plaats_chassisnummer;technische_max_massa_voertuig;volgnummer_wijziging_eu_typegoedkeuring;vermogen_massarijklaar;wielbasis;export_indicator;openstaande_terugroepactie_indicator;taxi_indicator;maximum_massa_samenstelling;jaar_laatste_registratie_tellerstand;tellerstandoordeel;code_toelichting_tellerstandoordeel;tenaamstellen_mogelijk;datum_tenaamstelling_dt;datum_eerste_toelating_dt;datum_eerste_tenaamstelling_in_nederland_dt;maximum_last_onder_de_vooras_sen_tezamen_koppeling;api_gekentekende_voertuigen_assen;api_gekentekende_voertuigen_brandstof;api_gekentekende_voertuigen_carrosserie;api_gekentekende_voertuigen_carrosserie_specifiek;api_gekentekende_voertuigen_voertuigklasse;cilinderinhoud;vervaldatum_apk;vervaldatum_apk_dt;toegestane_maximum_massa_voertuig;laadvermogen;aantal_zitplaatsen;maximum_massa_trekken_ongeremd;maximum_trekken_massa_geremd;registratie_datum_goedkeuring_afschrijvingsmoment_bpm;registratie_datum_goedkeuring_afschrijvingsmoment_bpm_dt;bruto_bpm;catalogusprijs;type;typegoedkeuringsnummer;variant;uitvoering;aantal_rolstoelplaatsen;zuinigheidsclassificatie;maximum_ondersteunende_snelheid;type_gasinstallatie
00HHX5;Personenauto;PEUGEOT;206;20181103;hatchback;ZWART;Niet geregistreerd;4;925;1025;20081208;20081208;Geen verstrekking in Open Data;Ja;4;4;0;0;382;0;M1;r. op dwarsbalk in kofferruimte;1450;0;0.05;245;Nee;Nee;Nee;2365;2022;Logisch;00;Ja;2018-11-03T00:00:00.000;2008-12-08T00:00:00.000;2008-12-08T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;1360;20230522;2023-05-22T00:00:00.000;1450;;5;510;1100;;;2748;13412;2*KFW*;e2*98/14*0237*12;A;A;0;D;;
00HJB8;Personenauto;PEUGEOT;308;20220421;stationwagen;BLAUW;Niet geregistreerd;4;1415;1515;20081224;20081224;Geen verstrekking in Open Data;Ja;4;4;0;0;450;0;M1;r. tegen schroefveerkoker onder motorkap;2100;0;0.06;271;Nee;Nee;Nee;3200;2022;Logisch;00;Ja;2022-04-21T00:00:00.000;2008-12-24T00:00:00.000;2008-12-24T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;1598;20230916;2023-09-16T00:00:00.000;2100;;7;750;1500;;;5277;26149;4;e2*2001/116*0362*06;H5FW;C/1;0;B;;
00HJN2;Personenauto;PEUGEOT;PEUGEOT 107;20150223;hatchback;GRIJS;Niet geregistreerd;3;780;880;20081231;20081231;Geen verstrekking in Open Data;Ja;4;4;0;0;343;0;M1;r. op bodemplaat by voorzitting;1190;0;0.06;234;Nee;Nee;Nee;0;2022;Logisch;00;Ja;2015-02-23T00:00:00.000;2008-12-31T00:00:00.000;2008-12-31T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;998;20231231;2023-12-31T00:00:00.000;1190;;4;;;;;667;10539;P;e11*2001/116*0237*05;NCFA;C;0;A;;
00HKH7;Personenauto;PEUGEOT;308;20190127;stationwagen;GRIJS;Niet geregistreerd;4;1457;1557;20090103;20090103;Geen verstrekking in Open Data;Nee;4;4;0;0;450;0;M1;r. tegen schroefveerkoker onder motorkap;2100;0;0.06;271;Nee;Nee;Nee;3200;2022;Logisch;00;Ja;2019-01-27T00:00:00.000;2009-01-03T00:00:00.000;2009-01-03T00:00:00.000;0;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;1598;20230213;2023-02-13T00:00:00.000;2100;;7;750;1500;;;5185;25799;4;e2*2001/116*0362*06;H5FW;C/1;0;B;;G3 gasinstallatie
00HKV6;Personenauto;PEUGEOT;206;20200627;hatchback;GRIJS;Niet geregistreerd;4;925;1025;20090102;20090102;Geen verstrekking in Open Data;Ja;4;4;0;0;382;0;M1;r. op dwarsbalk in kofferruimte;1450;0;0.05;245;Nee;Nee;Nee;2365;2022;Logisch;00;Ja;2020-06-27T00:00:00.000;2009-01-02T00:00:00.000;2009-01-02T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;1360;20230630;2023-06-30T00:00:00.000;1450;;5;510;1100;;;2748;13412;2*KFW*;e2*98/14*0237*12;A;A;0;D;;
00HLL3;Personenauto;PEUGEOT;PEUGEOT 107;20200529;hatchback;GRIJS;Niet geregistreerd;3;775;875;20090109;20090109;Geen verstrekking in Open Data;Ja;2;4;0;0;343;0;M1;r. op bodemplaat by voorzitting;1180;0;0.06;234;Nee;Nee;Nee;0;2023;Logisch;00;Ja;2020-05-29T00:00:00.000;2009-01-09T00:00:00.000;2009-01-09T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;998;20240219;2024-02-19T00:00:00.000;1180;;4;;;;;;9655;P;e11*2001/116*0237*05;MCFA;C;0;A;;
00HLL4;Personenauto;PEUGEOT;PEUGEOT 107;20180406;hatchback;ZWART;Niet geregistreerd;3;780;880;20090109;20090109;Geen verstrekking in Open Data;Ja;4;4;0;0;343;0;M1;r. op bodemplaat by voorzitting;1190;0;0.06;234;Nee;Nee;Nee;0;2022;Logisch;00;Ja;2018-04-06T00:00:00.000;2009-01-09T00:00:00.000;2009-01-09T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;998;20230406;2023-04-06T00:00:00.000;1190;;4;;;;;;10827;P;e11*2001/116*0237*05;NCFA;C;0;A;;
00HLL5;Personenauto;PEUGEOT;PEUGEOT 107;20130830;hatchback;GRIJS;Niet geregistreerd;3;780;880;20090112;20090112;Geen verstrekking in Open Data;Ja;4;4;0;0;343;0;M1;r. op bodemplaat by voorzitting;1190;0;0.06;234;Nee;Ja;Nee;0;2022;Logisch;00;Ja;2013-08-30T00:00:00.000;2009-01-12T00:00:00.000;2009-01-12T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;998;20230830;2023-08-30T00:00:00.000;1190;;4;;;;;;11445;P;e11*2001/116*0237*05;NCFA;C;0;A;;
00HLL6;Personenauto;PEUGEOT;PEUGEOT 107;20201021;hatchback;GRIJS;Niet geregistreerd;3;780;880;20090121;20090121;Geen verstrekking in Open Data;Ja;4;4;0;0;343;0;M1;r. op bodemplaat by voorzitting;1190;0;0.06;234;Nee;Nee;Nee;0;2022;Logisch;00;Ja;2020-10-21T00:00:00.000;2009-01-21T00:00:00.000;2009-01-21T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;998;20231014;2023-10-14T00:00:00.000;1190;;4;;;;;;10864;P;e11*2001/116*0237*05;NCFA;C;0;A;;
00HLL7;Personenauto;PEUGEOT;207;20221109;cabriolet;GRIJS;Niet geregistreerd;4;1366;1466;20090109;20090109;Geen verstrekking in Open Data;Nee;2;4;0;0;404;0;M1;r. op schutbord onder motorkap;1765;0;0.06;254;Nee;Nee;Nee;2645;2022;Logisch;00;Ja;2022-11-09T00:00:00.000;2009-01-09T00:00:00.000;2009-01-09T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;1598;20230707;2023-07-07T00:00:00.000;1765;;4;600;1060;;;6961;30312;W*****;e2*2001/116*0340*06;B5FW;F;0;D;0.00;
00HLL8;Personenauto;PEUGEOT;207;20160129;hatchback;ZWART;Niet geregistreerd;4;1153;1253;20090116;20090116;Geen verstrekking in Open Data;Ja;4;4;0;0;403;0;M1;r. op schutbord onder motorkap;1640;0;0.06;254;Nee;Nee;Nee;2580;2023;Logisch;00;Ja;2016-01-29T00:00:00.000;2009-01-16T00:00:00.000;2009-01-16T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;1397;20240126;2024-01-26T00:00:00.000;1640;;5;600;1150;;;2693;16619;W*****;e2*2001/116*0340*06;C8FS;C;0;B;0.00;
00HLN1;Personenauto;PEUGEOT;207;20130425;stationwagen;GRIJS;Niet geregistreerd;4;1235;1335;20090115;20090115;Geen verstrekking in Open Data;Ja;4;4;0;0;0;0;M1;r. op schutbord onder motorkap;1737;0;0.07;254;Nee;Nee;Nee;2687;2022;Logisch;00;Ja;2013-04-25T00:00:00.000;2009-01-15T00:00:00.000;2009-01-15T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;1598;20240115;2024-01-15T00:00:00.000;1737;;5;600;1150;;;5408;25329;W*****;e2*2001/116*0340*12;E5FW;F;0;C;;
00HLN3;Personenauto;PEUGEOT;206;20221013;hatchback;ZWART;Niet geregistreerd;4;925;1025;20090109;20090109;Geen verstrekking in Open Data;Ja;2;4;0;0;382;0;M1;r. op dwarsbalk in kofferruimte;1450;0;0.05;245;Nee;Nee;Nee;2365;2023;Logisch;00;Ja;2022-10-13T00:00:00.000;2009-01-09T00:00:00.000;2009-01-09T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;1360;20240120;2024-01-20T00:00:00.000;1450;;5;510;1100;;;2579;12895;2*KFW*;e2*98/14*0237*12;C;A;0;D;;
00HLN4;Personenauto;PEUGEOT;308;20200210;hatchback;GRIJS;Niet geregistreerd;4;1262;1362;20090116;20090116;Geen verstrekking in Open Data;Ja;4;4;0;0;428;0;M1;r. tegen schroefveerkoker onder motorkap;1815;0;0.06;273;Nee;Nee;Nee;3215;2023;Geen oordeel;07;Ja;2020-02-10T00:00:00.000;2009-01-16T00:00:00.000;2009-01-16T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;1598;20240207;2024-02-07T00:00:00.000;1815;;5;680;1650;;;4459;23639;;e2*2001/116*0362*00;C5FW;C;0;B;0.00;
00HLN6;Personenauto;PEUGEOT;308;20151223;stationwagen;GRIJS;Niet geregistreerd;4;1415;1515;20090108;20090108;Geen verstrekking in Open Data;Ja;4;4;0;0;450;0;M1;r. tegen schroefveerkoker onder motorkap;2100;0;0.06;271;Nee;Nee;Nee;3200;2022;Logisch;00;Ja;2015-12-23T00:00:00.000;2009-01-08T00:00:00.000;2009-01-08T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;1598;20231006;2023-10-06T00:00:00.000;2100;;7;750;1500;;;4990;25751;4;e2*2001/116*0362*06;H5FW;C/1;0;B;;
00HLN7;Personenauto;PEUGEOT;308;20210531;stationwagen;GRIJS;Niet geregistreerd;4;1415;1515;20090108;20090108;Geen verstrekking in Open Data;Ja;4;4;0;0;450;0;M1;r. tegen schroefveerkoker onder motorkap;2100;0;0.06;271;Nee;Nee;Nee;3200;2022;Logisch;00;Ja;2021-05-31T00:00:00.000;2009-01-08T00:00:00.000;2009-01-08T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;1598;20230512;2023-05-12T00:00:00.000;2100;;7;750;1500;;;5766;28836;4;e2*2001/116*0362*06;H5FW;C/1;0;B;;
00HLN9;Personenauto;PEUGEOT;PARTNER;20150521;stationwagen;GRIJS;Niet geregistreerd;4;1402;1502;20090117;20090117;Geen verstrekking in Open Data;Ja;0;4;0;0;438;0;M1;tegen r. schroefveerkoker onder motorkap;2025;0;0.05;273;Nee;Nee;Nee;3025;2022;Logisch;00;Ja;2015-05-21T00:00:00.000;2009-01-17T00:00:00.000;2009-01-17T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;1587;20230521;2023-05-21T00:00:00.000;2025;;5;750;1300;;;4761;21568;7*****;e2*2001/116*0365*00;JNFU;C;0;D;;
00HLT8;Personenauto;PEUGEOT;PEUGEOT 107;20090110;hatchback;ZWART;Niet geregistreerd;3;780;880;20090110;20090110;Geen verstrekking in Open Data;Ja;4;4;0;0;343;0;M1;r. op bodemplaat by voorzitting;1190;0;0.06;234;Nee;Nee;Nee;0;2023;Logisch;00;Ja;2009-01-10T00:00:00.000;2009-01-10T00:00:00.000;2009-01-10T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;998;20240317;2024-03-17T00:00:00.000;1190;;4;;;;;;10864;P;e11*2001/116*0237*05;NCFA;C;0;A;;
00HLT9;Personenauto;PEUGEOT;207;20210922;hatchback;ZWART;Niet geregistreerd;4;1153;1253;20090114;20090114;Geen verstrekking in Open Data;Ja;4;4;0;0;403;0;M1;r. op schutbord onder motorkap;1640;0;0.06;254;Nee;Nee;Nee;2580;2022;Logisch;00;Ja;2021-09-22T00:00:00.000;2009-01-14T00:00:00.000;2009-01-14T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;1397;20230922;2023-09-22T00:00:00.000;1640;;5;600;1150;;;2693;16619;W*****;e2*2001/116*0340*06;C8FS;C;0;B;0.00;
00HLV1;Personenauto;PEUGEOT;206;20220503;hatchback;GRIJS;Niet geregistreerd;4;925;1025;20090115;20090115;Geen verstrekking in Open Data;Ja;2;4;0;0;382;0;M1;r. op dwarsbalk in kofferruimte;1450;0;0.05;245;Nee;Nee;Nee;2365;2022;Logisch;00;Ja;2022-05-03T00:00:00.000;2009-01-15T00:00:00.000;2009-01-15T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;1360;20230421;2023-04-21T00:00:00.000;1450;;5;510;1100;;;2579;12895;2*KFW*;e2*98/14*0237*12;C;A;0;D;;
00HLV2;Personenauto;PEUGEOT;308;20221118;MPV;GRIJS;Niet geregistreerd;4;1470;1570;20090114;20090114;Geen verstrekking in Open Data;Ja;4;4;0;0;450;0;M1;r. tegen schroefveerkoker onder motorkap;2150;0;0.05;271;Ja;Nee;Nee;3150;2022;Logisch;00;Nee;2022-11-18T00:00:00.000;2009-01-14T00:00:00.000;2009-01-14T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;1560;20230114;2023-01-14T00:00:00.000;2150;;7;750;1400;;;6942;30375;;e2*2001/116*0362*02;H9HZ;H/1;0;B;0.00;
00HND8;Personenauto;PEUGEOT;PEUGEOT 107;20181208;hatchback;WIT;Niet geregistreerd;3;780;880;20090121;20090121;Geen verstrekking in Open Data;Ja;4;4;0;0;343;0;M1;r. op bodemplaat by voorzitting;1190;0;0.06;234;Nee;Nee;Nee;0;2023;Logisch;00;Ja;2018-12-08T00:00:00.000;2009-01-21T00:00:00.000;2009-01-21T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;998;20240305;2024-03-05T00:00:00.000;1190;;4;;;;;;10564;P;e11*2001/116*0237*05;NCFA;C;0;A;;
00HND9;Personenauto;PEUGEOT;207;20221217;hatchback;GRIJS;Niet geregistreerd;4;1153;1253;20090110;20090110;Geen verstrekking in Open Data;Ja;4;4;0;0;403;0;M1;r. op schutbord onder motorkap;1640;0;0.06;254;Nee;Nee;Nee;2580;2022;Logisch;00;Ja;2022-12-17T00:00:00.000;2009-01-10T00:00:00.000;2009-01-10T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;1397;20240111;2024-01-11T00:00:00.000;1640;;5;600;1150;;;2884;17379;W*****;e2*2001/116*0340*06;C8FS;C;0;B;0.00;
00HNJ7;Personenauto;PEUGEOT;PEUGEOT 107;20160624;hatchback;GRIJS;Niet geregistreerd;3;775;875;20090116;20090116;Geen verstrekking in Open Data;Ja;2;4;0;0;345;0;M1;r. op bodemplaat by voorzitting;1180;0;0.06;234;Nee;Nee;Nee;0;2022;Geen oordeel;07;Ja;2016-06-24T00:00:00.000;2009-01-16T00:00:00.000;2009-01-16T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;998;20230628;2023-06-28T00:00:00.000;1180;;4;;;;;;10734;P*****;e11*2001/116*0237*06;MCFA;C;0;A;0.00;
00HNJ8;Personenauto;PEUGEOT;308;20200523;stationwagen;ZWART;Niet geregistreerd;4;1415;1515;20090110;20090110;Geen verstrekking in Open Data;Ja;4;4;0;0;450;0;M1;r. tegen schroefveerkoker onder motorkap;2100;0;0.06;271;Nee;Nee;Nee;3200;2023;Logisch;00;Ja;2020-05-23T00:00:00.000;2009-01-10T00:00:00.000;2009-01-10T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;1598;20240125;2024-01-25T00:00:00.000;2100;;7;750;1500;;;4941;25555;4;e2*2001/116*0362*06;H5FW;C/1;0;B;;
00HNL9;Personenauto;PEUGEOT;PEUGEOT 107;20220125;hatchback;ROOD;Niet geregistreerd;3;805;905;20090128;20090128;Geen verstrekking in Open Data;Ja;2;4;0;0;345;0;M1;r. op bodemplaat by voorzitting;1180;0;0.06;234;Nee;Nee;Nee;0;2022;Logisch;00;Ja;2022-01-25T00:00:00.000;2009-01-28T00:00:00.000;2009-01-28T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;998;20240128;2024-01-28T00:00:00.000;1180;;4;;;;;;9949;P*****;e11*2001/116*0237*06;MCFA;C/P;0;A;;
00HNN1;Personenauto;PEUGEOT;308;20090117;stationwagen;GRIJS;Niet geregistreerd;4;1441;1541;20090117;20090117;Geen verstrekking in Open Data;Ja;4;4;0;0;450;0;M1;r. tegen schroefveerkoker onder motorkap;2125;0;0.06;271;Nee;Nee;Nee;3095;2023;Logisch;00;Ja;2009-01-17T00:00:00.000;2009-01-17T00:00:00.000;2009-01-17T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;1598;20240117;2024-01-17T00:00:00.000;2125;;7;750;1370;;;6522;29757;4;e2*2001/116*0362*06;H5FW;F;0;C;;
00HNS6;Personenauto;PEUGEOT;PEUGEOT 107;20220124;hatchback;WIT;Niet geregistreerd;3;780;880;20090128;20090128;Geen verstrekking in Open Data;Ja;4;4;0;0;345;0;M1;r. op bodemplaat by voorzitting;1190;0;0.06;234;Nee;Nee;Nee;0;2022;Logisch;00;Ja;2022-01-24T00:00:00.000;2009-01-28T00:00:00.000;2009-01-28T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;998;20240110;2024-01-10T00:00:00.000;1190;;4;;;;;;9965;P*****;e11*2001/116*0237*06;NCFA;C;0;A;;
00HPB4;Personenauto;PEUGEOT;PEUGEOT 107;20160921;hatchback;ROOD;Niet geregistreerd;3;780;880;20090302;20090302;Geen verstrekking in Open Data;Ja;4;4;0;0;343;0;M1;r. op bodemplaat by voorzitting;1190;0;0.06;234;Nee;Nee;Nee;0;2022;Logisch;00;Ja;2016-09-21T00:00:00.000;2009-03-02T00:00:00.000;2009-03-02T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;998;20230727;2023-07-27T00:00:00.000;1190;;4;;;;;;9577;P;e11*2001/116*0237*05;NCFA;C;0;A;;
00HPF4;Personenauto;PEUGEOT;308;20210621;stationwagen;GRIJS;Niet geregistreerd;4;1415;1515;20090122;20090122;Geen verstrekking in Open Data;Ja;4;4;0;0;450;0;M1;r. tegen schroefveerkoker onder motorkap;2100;0;0.06;271;Nee;Nee;Nee;3200;2022;Logisch;00;Ja;2021-06-21T00:00:00.000;2009-01-22T00:00:00.000;2009-01-22T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;1598;20230304;2023-03-04T00:00:00.000;2100;;7;750;1500;;;5236;26728;4;e2*2001/116*0362*06;H5FW;C/1;0;B;;
00HPG7;Personenauto;PEUGEOT;PEUGEOT 107;20160426;hatchback;ZWART;Niet geregistreerd;3;775;875;20090124;20090124;Geen verstrekking in Open Data;Ja;2;4;0;0;343;0;M1;r. op bodemplaat by voorzitting;1180;0;0.06;234;Nee;Nee;Nee;0;2022;Logisch;00;Ja;2016-04-26T00:00:00.000;2009-01-24T00:00:00.000;2009-01-24T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;998;20230518;2023-05-18T00:00:00.000;1180;;4;;;;;;10307;P;e11*2001/116*0237*05;MCFA;C;0;A;;
00HPJ5;Personenauto;PEUGEOT;207;20210811;stationwagen;GRIJS;Niet geregistreerd;4;1190;1290;20090129;20090129;Geen verstrekking in Open Data;Ja;4;4;0;0;0;0;M1;r. op schutbord onder motorkap;1691;0;0.05;254;Nee;Nee;Nee;2591;2022;Logisch;00;Ja;2021-08-11T00:00:00.000;2009-01-29T00:00:00.000;2009-01-29T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;1397;20231022;2023-10-22T00:00:00.000;1691;;5;600;1150;;;3966;19599;W*****;e2*2001/116*0340*12;E8FS;C;0;C;;
