kenteken;voertuigsoort;merk;handelsbenaming;vervaldatum_apk;datum_tenaamstelling;inrichting;eerste_kleur;tweede_kleur;aantal_cilinders;massa_ledig_voertuig;massa_rijklaar;datum_eerste_toelating;datum_eerste_tenaamstelling_in_nederland;wacht_op_keuren;wam_verzekerd;aantal_deuren;aantal_wielen;afstand_hart_koppeling_tot_achterzijde_voertuig;afstand_voorzijde_voertuig_tot_hart_koppeling;lengte;breedte;europese_voertuigcategorie;technische_max_massa_voertuig;volgnummer_wijziging_eu_typegoedkeuring;vermogen_massarijklaar;wielbasis;export_indicator;openstaande_terugroepactie_indicator;taxi_indicator;maximum_massa_samenstelling;jaar_laatste_registratie_tellerstand;tellerstandoordeel;code_toelichting_tellerstandoordeel;tenaamstellen_mogelijk;vervaldatum_apk_dt;datum_tenaamstelling_dt;datum_eerste_toelating_dt;datum_eerste_tenaamstelling_in_nederland_dt;api_gekentekende_voertuigen_assen;api_gekentekende_voertuigen_brandstof;api_gekentekende_voertuigen_carrosserie;api_gekentekende_voertuigen_carrosserie_specifiek;api_gekentekende_voertuigen_voertuigklasse;bruto_bpm;aantal_zitplaatsen;cilinderinhoud;toegestane_maximum_massa_voertuig;plaats_chassisnummer;maximum_last_onder_de_vooras_sen_tezamen_koppeling;catalogusprijs;type;typegoedkeuringsnummer;variant;uitvoering;aantal_rolstoelplaatsen;zuinigheidsclassificatie;registratie_datum_goedkeuring_afschrijvingsmoment_bpm;registratie_datum_goedkeuring_afschrijvingsmoment_bpm_dt;maximum_ondersteunende_snelheid;maximale_constructiesnelheid;hoogte_voertuig
72XBR6;Personenauto;FERRARI;CALIFORNIA;20231125;20201127;cabriolet;ZWART;Niet geregistreerd;8;1775;1875;20100628;20120515;Geen verstrekking in Open Data;Ja;2;4;0;0;456;0;M1;2200;0;0.18;267;Nee;Ja;Nee;0;2022;Geen oordeel;05;Ja;2023-11-25T00:00:00.000;2020-11-27T00:00:00.000;2010-06-28T00:00:00.000;2012-05-15T00:00:00.000;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;62662;4;4297;2200;by achterzitting r.;;244544;F 149;e3*2001/116*0285*00;BD;EL;0;G;;;;;
72YB69;Personenauto;FERRARI;512 BB;20120922;20120903;coupe;ROOD;Niet geregistreerd;12;1540;1640;19770815;20101204;Geen verstrekking in Open Data;Ja;2;4;0;0;0;0;M1;1730;0;0.15;250;Nee;Nee;Nee;0;;Niet geregistreerd;NG;Ja;2012-09-22T00:00:00.000;2012-09-03T00:00:00.000;1977-08-15T00:00:00.000;2010-12-04T00:00:00.000;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;2;4942;1730;dwarsbalk l.;0;;;;;;;;;;;;
73AE71;Personenauto;FERRARI;365 GTB 4;;20200813;Niet geregistreerd;ROOD;Niet geregistreerd;12;1540;1640;19730924;19730924;Geen verstrekking in Open Data;Ja;2;4;;;;;M1;;;0.00;240;Nee;Nee;Nee;;;Niet geregistreerd;NG;Ja;;2020-08-13T00:00:00.000;1973-09-24T00:00:00.000;1973-09-24T00:00:00.000;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;;;;;0;;;;;;;;;;;;
73DNXX;Personenauto;FERRARI;F119 AB;20240520;20190425;coupe;ROOD;Niet geregistreerd;8;1470;1570;19901011;19991007;Geen verstrekking in Open Data;Ja;2;4;;;;;M1;;;0.00;245;Nee;Nee;Nee;;2022;Geen oordeel;05;Ja;2024-05-20T00:00:00.000;2019-04-25T00:00:00.000;1990-10-11T00:00:00.000;1999-10-07T00:00:00.000;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;32579;;;;op r. schroefveerkoker onder motorkap;0;;;;;;;;;;;;
73FNBS;Personenauto;FERRARI;360;20210419;20210406;coupe;ZWART;Niet geregistreerd;8;1375;1475;20000503;20000503;Geen verstrekking in Open Data;Nee;2;4;0;0;448;0;M1;1720;1;0.20;260;Nee;Nee;Nee;0;2020;Logisch;00;Ja;2021-04-19T00:00:00.000;2021-04-06T00:00:00.000;2000-05-03T00:00:00.000;2000-05-03T00:00:00.000;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;48604;2;3586;1720;op bodemplaat onder r. voorzitting;;;;e3*98/14*0043*01;AB;M;0;;;;;;
73GJR3;Personenauto;FERRARI;F 430;20230311;20140822;cabriolet;ZWART;Niet geregistreerd;8;1565;1665;20080605;20080705;Geen verstrekking in Open Data;Ja;2;4;0;0;451;0;M1;1790;0;0.21;260;Nee;Ja;Nee;0;2022;Geen oordeel;05;Ja;2023-03-11T00:00:00.000;2014-08-22T00:00:00.000;2008-06-05T00:00:00.000;2008-07-05T00:00:00.000;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;79643;2;4308;1790;op bodemplaat onder r. voorzitting;;;F 131;e3*2001/116*0043*10;ED;E;0;G;;;;;
73GKJ4;Personenauto;FERRARI;599;20231021;20230106;coupe;ZWART;Niet geregistreerd;12;1680;1780;20080425;20080710;Geen verstrekking in Open Data;Ja;2;4;0;0;467;0;M1;2000;1;0.26;275;Nee;Nee;Nee;0;2023;Geen oordeel;05;Ja;2023-10-21T00:00:00.000;2023-01-06T00:00:00.000;2008-04-25T00:00:00.000;2008-07-10T00:00:00.000;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;110632;2;5999;2000;op dwarsbalk a. r. voorzitting;;;;e3*2001/116*0227*02;AB;E;0;G;;;;;
73KRS4;Personenauto;FERRARI;430;20230517;20111003;coupe;ZWART;Niet geregistreerd;8;1425;1525;20050409;20100119;Geen verstrekking in Open Data;Ja;2;4;;;;;M1;1720;;0.23;260;Nee;Ja;Nee;;2022;Geen oordeel;05;Ja;2023-05-17T00:00:00.000;2011-10-03T00:00:00.000;2005-04-09T00:00:00.000;2010-01-19T00:00:00.000;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;55321;2;4308;1720;r. bodemplaat onder voorzitting;0;;;;;;;;;;;;
73LPHJ;Personenauto;FERRARI;F 133;20210603;20030321;coupe;ROOD;Niet geregistreerd;12;1665;1765;19970403;20030321;Geen verstrekking in Open Data;Ja;2;4;0;0;0;0;M1;1950;1;0.00;249;Nee;Nee;Nee;0;2020;Geen oordeel;05;Ja;2021-06-03T00:00:00.000;2003-03-21T00:00:00.000;1997-04-03T00:00:00.000;2003-03-21T00:00:00.000;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;68370;;;1950;op r. balk onder motorkap;;;;e3*95/54*0010*00;AB;M;0;;;;0.00;;
73SLN2;Personenauto;FERRARI;550;20230502;20111104;coupe;BLAUW;Niet geregistreerd;12;1665;1765;20010322;20111019;Geen verstrekking in Open Data;Ja;2;4;0;0;455;0;M1;1950;1;0.20;249;Nee;Nee;Nee;0;2022;Geen oordeel;05;Ja;2023-05-02T00:00:00.000;2011-11-04T00:00:00.000;2001-03-22T00:00:00.000;2011-10-19T00:00:00.000;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;69710;2;5474;1950;op r. balk onder motorkap;;;;e3*98/14*0010*02;AB;M;0;G;;;;;
