kenteken;voertuigsoort;merk;handelsbenaming;vervaldatum_apk;datum_tenaamstelling;inrichting;eerste_kleur;tweede_kleur;aantal_cilinders;massa_ledig_voertuig;massa_rijklaar;datum_eerste_toelating;datum_eerste_tenaamstelling_in_nederland;wacht_op_keuren;wam_verzekerd;aantal_deuren;aantal_wielen;afstand_hart_koppeling_tot_achterzijde_voertuig;afstand_voorzijde_voertuig_tot_hart_koppeling;lengte;breedte;europese_voertuigcategorie;technische_max_massa_voertuig;volgnummer_wijziging_eu_typegoedkeuring;vermogen_massarijklaar;wielbasis;export_indicator;openstaande_terugroepactie_indicator;taxi_indicator;maximum_massa_samenstelling;jaar_laatste_registratie_tellerstand;tellerstandoordeel;code_toelichting_tellerstandoordeel;tenaamstellen_mogelijk;vervaldatum_apk_dt;datum_tenaamstelling_dt;datum_eerste_toelating_dt;datum_eerste_tenaamstelling_in_nederland_dt;api_gekentekende_voertuigen_assen;api_gekentekende_voertuigen_brandstof;api_gekentekende_voertuigen_carrosserie;api_gekentekende_voertuigen_carrosserie_specifiek;api_gekentekende_voertuigen_voertuigklasse;bruto_bpm;aantal_zitplaatsen;cilinderinhoud;toegestane_maximum_massa_voertuig;plaats_chassisnummer;maximum_last_onder_de_vooras_sen_tezamen_koppeling;catalogusprijs;type;typegoedkeuringsnummer;variant;uitvoering;aantal_rolstoelplaatsen;zuinigheidsclassificatie;registratie_datum_goedkeuring_afschrijvingsmoment_bpm;registratie_datum_goedkeuring_afschrijvingsmoment_bpm_dt;maximum_ondersteunende_snelheid;maximale_constructiesnelheid;hoogte_voertuig
23TXST;Personenauto;FERRARI;599;20231112;20070313;coupe;ROOD;Niet geregistreerd;12;1680;1780;20070313;20070313;Geen verstrekking in Open Data;Ja;2;4;0;0;467;0;M1;2000;0;0.26;275;Nee;Nee;Nee;0;2022;Logisch;00;Ja;2023-11-12T00:00:00.000;2007-03-13T00:00:00.000;2007-03-13T00:00:00.000;2007-03-13T00:00:00.000;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;95577;2;5999;2000;op dwarsbalk a. r. voorzitting;;349838;;e3*2001/116*0227*00;AB;E;0;G;;;;;
24GFF1;Personenauto;FERRARI;612;20231011;20221021;coupe;ZWART;Niet geregistreerd;12;1865;1965;20080130;20080606;Geen verstrekking in Open Data;Ja;2;4;0;0;490;0;M1;2300;1;0.20;295;Nee;Ja;Nee;0;2022;Geen oordeel;05;Ja;2023-10-11T00:00:00.000;2022-10-21T00:00:00.000;2008-01-30T00:00:00.000;2008-06-06T00:00:00.000;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;82000;4;5748;2300;op bodemplaat by r. voorzitting;;;;e3*2001/116*0172*01;AL;E;0;G;;;;;
24JFLS;Personenauto;FERRARI;348 TS E2;20230503;20150417;coupe;ROOD;Niet geregistreerd;8;1480;1580;19930325;20020308;Geen verstrekking in Open Data;Ja;2;4;;;;;M1;1680;;0.00;245;Nee;Nee;Nee;;2022;Geen oordeel;07;Ja;2023-05-03T00:00:00.000;2015-04-17T00:00:00.000;1993-03-25T00:00:00.000;2002-03-08T00:00:00.000;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;38388;;;1680;op r. balk onder motorkap;0;;;;;;;;;;;;
24JJSZ;Personenauto;FERRARI;456;20230525;20220927;coupe;ROOD;Niet geregistreerd;12;1905;2005;20020501;20020501;Geen verstrekking in Open Data;Ja;2;4;0;0;476;0;M1;2330;1;0.16;260;Nee;Nee;Nee;0;2022;Logisch;00;Ja;2023-05-25T00:00:00.000;2022-09-27T00:00:00.000;2002-05-01T00:00:00.000;2002-05-01T00:00:00.000;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;76040;4;5474;2330;op r. balk onder motorkap;;;;e3*98/14*0037*02;CL;A;0;G;;;;;
24JRDV;Personenauto;FERRARI;360;20230526;20210503;cabriolet;GRIJS;Niet geregistreerd;8;1425;1525;20020704;20020704;Geen verstrekking in Open Data;Ja;2;4;0;0;448;0;M1;1730;1;0.19;260;Nee;Nee;Nee;0;2022;Logisch;00;Ja;2023-05-26T00:00:00.000;2021-05-03T00:00:00.000;2002-07-04T00:00:00.000;2002-07-04T00:00:00.000;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;58619;2;3586;1730;op bodemplaat onder r. voorzitting;;;;e3*98/14*0043*04;AD;E;0;G;;;;;
24LJBH;Personenauto;FERRARI;360;20230914;20070921;cabriolet;ROOD;Niet geregistreerd;8;1425;1525;20030114;20030114;Geen verstrekking in Open Data;Ja;2;4;0;0;448;0;M1;1730;0;0.19;260;Nee;Nee;Nee;0;2022;Logisch;00;Ja;2023-09-14T00:00:00.000;2007-09-21T00:00:00.000;2003-01-14T00:00:00.000;2003-01-14T00:00:00.000;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;58530;2;3586;1730;op bodemplaat onder r. voorzitting;;;;e3*98/14*0043*05;AD;E;0;G;;;;;
24LNN1;Personenauto;FERRARI;348 GTS E2;20130601;20100531;coupe;ZWART;Niet geregistreerd;8;1450;1550;19931122;20100531;Geen verstrekking in Open Data;Nee;2;4;0;0;0;0;M1;1680;0;0.15;245;Nee;Nee;Nee;0;2012;Geen oordeel;05;Ja;2013-06-01T00:00:00.000;2010-05-31T00:00:00.000;1993-11-22T00:00:00.000;2010-05-31T00:00:00.000;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;39733;2;3405;1680;op r. balk onder motorkap;0;;;;;;;;;;;;
24NPZ1;Personenauto;FERRARI;CALIFORNIA;20230509;20170515;cabriolet;ROOD;Niet geregistreerd;8;1775;1875;20101026;20101026;Geen verstrekking in Open Data;Ja;2;4;0;0;456;0;M1;2200;0;0.18;267;Nee;Ja;Nee;0;2022;Logisch;00;Ja;2023-05-09T00:00:00.000;2017-05-15T00:00:00.000;2010-10-26T00:00:00.000;2010-10-26T00:00:00.000;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;67185;4;4297;2200;by achterzitting r.;;169347;F 149;e3*2001/116*0285*00;BD;EL;0;G;;;;;
24NXD2;Personenauto;FERRARI;MONDIAL QUATTROVALVOLE;20200317;20120505;coupe;ROOD;Niet geregistreerd;8;1490;1590;19850606;20101130;Geen verstrekking in Open Data;Ja;2;4;0;0;0;0;M1;1920;0;0.11;265;Nee;Nee;Nee;0;2018;Geen oordeel;01;Ja;2020-03-17T00:00:00.000;2012-05-05T00:00:00.000;1985-06-06T00:00:00.000;2010-11-30T00:00:00.000;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;4;2927;1920;op r. balk onder motorkap;0;;;;;;;;;;;;
24XHN9;Personenauto;FERRARI;CALIFORNIA;20230923;20200911;cabriolet;ZWART;Niet geregistreerd;8;1775;1875;20120613;20120613;Geen verstrekking in Open Data;Ja;2;4;0;0;456;0;M1;2200;0;0.19;267;Nee;Ja;Nee;0;2022;Logisch;00;Ja;2023-09-23T00:00:00.000;2020-09-11T00:00:00.000;2012-06-13T00:00:00.000;2012-06-13T00:00:00.000;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;49097;4;4297;2200;by achterzitting r.;;239569;F 149;e3*2001/116*0285*05;CD;EL;0;G;;;;;
24YD64;Personenauto;FERRARI;365 GTB/4 DAYTONA;20180712;20160805;coupe;BLAUW;Niet geregistreerd;12;1280;1380;19730228;20160805;Geen verstrekking in Open Data;Ja;2;4;;;;;M1;;;0.21;240;Nee;Nee;Nee;;2016;Geen oordeel;05;Ja;2018-07-12T00:00:00.000;2016-08-05T00:00:00.000;1973-02-28T00:00:00.000;2016-08-05T00:00:00.000;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;2;4390;;l. by motorruimte;;;;;;;;;;;;;
24ZPTX;Personenauto;FERRARI;430;20240121;20210403;cabriolet;ROOD;Niet geregistreerd;8;1565;1665;20080425;20080425;Geen verstrekking in Open Data;Ja;2;4;0;0;451;0;M1;1790;2;0.21;260;Nee;Ja;Nee;0;2023;Logisch;00;Ja;2024-01-21T00:00:00.000;2021-04-03T00:00:00.000;2008-04-25T00:00:00.000;2008-04-25T00:00:00.000;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;85509;2;4308;1790;op bodemplaat onder r. voorzitting;;;;e3*2001/116*0043*08;ED;E;0;G;;;;;
24ZSF7;Personenauto;FERRARI;FF;20230908;20200910;coupe;GRIJS;Niet geregistreerd;12;1855;1955;20120103;20130116;Geen verstrekking in Open Data;Ja;2;4;0;0;0;0;M1;2320;0;0.25;299;Nee;Ja;Nee;0;2022;Geen oordeel;05;Ja;2023-09-08T00:00:00.000;2020-09-10T00:00:00.000;2012-01-03T00:00:00.000;2013-01-16T00:00:00.000;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;81915;4;6262;2320;r. by achterzitting;0;379676;F151;e24*KS07/46*0025*02;AL;E;0;G;;;;;
25DFKR;Personenauto;FERRARI;512 TR U9;20150612;20150130;coupe;GEEL;Niet geregistreerd;12;1550;1650;19920702;19990714;Geen verstrekking in Open Data;Ja;2;4;0;0;0;0;M1;1840;0;0.19;255;Nee;Nee;Nee;0;2023;Geen oordeel;05;Ja;2015-06-12T00:00:00.000;2015-01-30T00:00:00.000;1992-07-02T00:00:00.000;1999-07-14T00:00:00.000;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;60770;;4943;1840;op r. balk onder motorkap;;;;;;;;;;;;;
25FJZH;Personenauto;FERRARI;360;20230918;20060715;coupe;ROOD;Niet geregistreerd;8;1375;1475;20000407;20000407;Geen verstrekking in Open Data;Ja;2;4;0;0;448;0;M1;1720;1;0.20;260;Nee;Nee;Nee;0;2022;Logisch;00;Ja;2023-09-18T00:00:00.000;2006-07-15T00:00:00.000;2000-04-07T00:00:00.000;2000-04-07T00:00:00.000;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;46994;2;3586;1720;op bodemplaat onder r. voorzitting;;;;e3*98/14*0043*01;AB;M;0;;;;;;
25GXBH;Personenauto;FERRARI;F 129 AD F355 SPIDER;20230618;20210402;cabriolet;ROOD;Niet geregistreerd;8;1500;1600;19970409;20010406;Geen verstrekking in Open Data;Ja;2;4;;;;;M1;1700;;0.00;245;Nee;Nee;Nee;;2022;Geen oordeel;05;Ja;2023-06-18T00:00:00.000;2021-04-02T00:00:00.000;1997-04-09T00:00:00.000;2001-04-06T00:00:00.000;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;44586;;;1700;op r. balk onder motorkap;0;;;;;;;;;;;;
25HBPX;Personenauto;FERRARI;308 GTS QUATTROVALVOLE;20240517;20021115;cabriolet;ROOD;Niet geregistreerd;8;1342;1442;19830311;20010615;Geen verstrekking in Open Data;Ja;2;4;0;0;0;0;M1;1610;0;0.12;234;Nee;Nee;Nee;0;2022;Geen oordeel;01;Ja;2024-05-17T00:00:00.000;2002-11-15T00:00:00.000;1983-03-11T00:00:00.000;2001-06-15T00:00:00.000;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;18228;;2927;1610;op r. balk onder motorkap;;;;;;;;;;;;;
25HZP1;Personenauto;FERRARI;360 MODENA SPIDER;20230417;20200120;cabriolet;ROOD;Niet geregistreerd;8;1425;1525;20030704;20090331;Geen verstrekking in Open Data;Ja;2;4;;;;;M1;1730;;0.19;262;Nee;Nee;Nee;;2022;Geen oordeel;05;Ja;2023-04-17T00:00:00.000;2020-01-20T00:00:00.000;2003-07-04T00:00:00.000;2009-03-31T00:00:00.000;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;53209;2;3586;1730;r. by voorzitting;0;;;;;;;;;;;;
25JDF1;Personenauto;FERRARI;599 GTB FIORANO F;20230710;20131227;coupe;ROOD;Niet geregistreerd;12;1515;1615;20061114;20090417;Geen verstrekking in Open Data;Ja;2;4;;;;;M1;2000;;0.28;275;Nee;Nee;Nee;;2022;Geen oordeel;05;Ja;2023-07-10T00:00:00.000;2013-12-27T00:00:00.000;2006-11-14T00:00:00.000;2009-04-17T00:00:00.000;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;79489;2;5999;2000;a. r. voorzitting;0;;;;;;;;;;;;
25LJBH;Personenauto;FERRARI;360;20230415;20180612;cabriolet;ROOD;Niet geregistreerd;8;1425;1525;20030114;20030114;Geen verstrekking in Open Data;Ja;2;4;0;0;448;0;M1;1730;0;0.19;260;Nee;Nee;Nee;0;2022;Logisch;00;Ja;2023-04-15T00:00:00.000;2018-06-12T00:00:00.000;2003-01-14T00:00:00.000;2003-01-14T00:00:00.000;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;58948;2;3586;1730;op bodemplaat onder r. voorzitting;;;;e3*98/14*0043*05;AD;E;0;G;;;;;
25LSH8;Personenauto;FERRARI;430;20230930;20100617;coupe;GRIJS;Niet geregistreerd;8;1425;1525;20060425;20100617;Geen verstrekking in Open Data;Ja;2;4;0;0;451;0;M1;1720;0;0.23;260;Nee;Nee;Nee;0;2022;Onlogisch;04;Ja;2023-09-30T00:00:00.000;2010-06-17T00:00:00.000;2006-04-25T00:00:00.000;2010-06-17T00:00:00.000;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;60887;2;4308;1720;op bodemplaat onder r. voorzitting;0;;;e3*2001/116*0043*08;EB;E;0;G;;;;;
25LTN4;Personenauto;FERRARI;CALIFORNIA;20230825;20190820;cabriolet;GRIJS;Niet geregistreerd;8;1775;1875;20100701;20100701;Geen verstrekking in Open Data;Ja;2;4;0;0;456;0;M1;2200;0;0.18;267;Nee;Ja;Nee;0;2022;Logisch;00;Ja;2023-08-25T00:00:00.000;2019-08-20T00:00:00.000;2010-07-01T00:00:00.000;2010-07-01T00:00:00.000;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;64995;4;4297;2200;by achterzitting r.;;257530;F 149;e3*2001/116*0285*00;BD;EL;0;G;;;;;
25LXLH;Personenauto;FERRARI;360;20150922;20160824;cabriolet;GRIJS;Niet geregistreerd;8;1425;1525;20020604;20030617;Geen verstrekking in Open Data;Nee;2;4;0;0;448;0;M1;1730;1;0.19;260;Nee;Nee;Nee;0;2014;Onlogisch;04;Ja;2015-09-22T00:00:00.000;2016-08-24T00:00:00.000;2002-06-04T00:00:00.000;2003-06-17T00:00:00.000;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;54306;2;3586;1730;op bodemplaat onder r. voorzitting;;;;e3*98/14*0043*04;AD;M;0;G;;;;;
25PRG3;Personenauto;FERRARI;CALIFORNIA;20230927;20210714;cabriolet;BLAUW;Niet geregistreerd;8;1775;1875;20110311;20110311;Geen verstrekking in Open Data;Ja;2;4;0;0;456;0;M1;2200;0;0.18;267;Nee;Ja;Nee;0;2022;Logisch;00;Ja;2023-09-27T00:00:00.000;2021-07-14T00:00:00.000;2011-03-11T00:00:00.000;2011-03-11T00:00:00.000;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;54222;4;4297;2200;by achterzitting r.;;258378;F 149;e3*2001/116*0285*03;BD;EL;0;G;;;;;
25RRXV;Personenauto;FERRARI;360;20231109;20110216;coupe;ZWART;Niet geregistreerd;8;1375;1475;20010704;20050725;Geen verstrekking in Open Data;Ja;2;4;0;0;448;0;M1;1720;1;0.20;260;Nee;Nee;Nee;0;2022;Geen oordeel;05;Ja;2023-11-09T00:00:00.000;2011-02-16T00:00:00.000;2001-07-04T00:00:00.000;2005-07-25T00:00:00.000;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;49914;2;3586;1720;op bodemplaat onder r. voorzitting;;;;e3*98/14*0043*03;AB;E;0;G;;;;;
25TZHB;Personenauto;FERRARI;360 MODENA F1;20180815;20170912;cabriolet;ROOD;Niet geregistreerd;8;1600;1700;20040709;20070313;Geen verstrekking in Open Data;Ja;2;4;;;;;M1;1720;;0.17;260;Nee;Nee;Nee;;2017;Geen oordeel;05;Ja;2018-08-15T00:00:00.000;2017-09-12T00:00:00.000;2004-07-09T00:00:00.000;2007-03-13T00:00:00.000;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;41964;;3586;1720;op bodemplaat onder r. voorzitting;0;;;;;;;;;;;;
25TZZH;Personenauto;FERRARI;550;20230624;20220627;cabriolet;GRIJS;Niet geregistreerd;12;1665;1765;20011115;20070316;Geen verstrekking in Open Data;Ja;2;4;0;0;455;0;M1;1950;0;0.20;249;Nee;Nee;Nee;0;2022;Geen oordeel;05;Ja;2023-06-24T00:00:00.000;2022-06-27T00:00:00.000;2001-11-15T00:00:00.000;2007-03-16T00:00:00.000;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;83950;2;5474;1950;r. op balk onder motorkap;;;;e13*98/14*0070*00;AD;M;0;G;;;0.00;;
25XBFF;Personenauto;FERRARI;360;20230812;20181105;coupe;BLAUW;Niet geregistreerd;8;1375;1475;20010209;20070323;Geen verstrekking in Open Data;Ja;2;4;0;0;448;0;M1;1720;1;0.20;260;Nee;Nee;Nee;0;2022;Geen oordeel;05;Ja;2023-08-12T00:00:00.000;2018-11-05T00:00:00.000;2001-02-09T00:00:00.000;2007-03-23T00:00:00.000;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;48100;2;3586;1720;op bodemplaat onder r. voorzitting;;;;e3*98/14*0043*03;AB;E;0;G;;;;;
25XTJ2;Personenauto;FERRARI;458;20231113;20120804;cabriolet;WIT;Niet geregistreerd;8;1540;1640;20120804;20120804;Geen verstrekking in Open Data;Ja;2;4;0;0;453;0;M1;1835;0;0.25;265;Nee;Ja;Nee;0;2022;Logisch;00;Ja;2023-11-13T00:00:00.000;2012-08-04T00:00:00.000;2012-08-04T00:00:00.000;2012-08-04T00:00:00.000;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;59566;2;4497;1835;r. dwarsbalk onder voorzitting;;330365;F 142;e3*2007/46*0040*02;AD;E;0;G;;;;;
25YD78;Personenauto;FERRARI;DINO F106CL 208 GT4;20240628;20160907;Niet geregistreerd;GRIJS;Niet geregistreerd;8;1300;1400;19750630;19940720;Geen verstrekking in Open Data;Ja;2;4;;;;;M1;;;0.00;255;Nee;Nee;Nee;;2022;Geen oordeel;05;Ja;2024-06-28T00:00:00.000;2016-09-07T00:00:00.000;1975-06-30T00:00:00.000;1994-07-20T00:00:00.000;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;;;;op r. balk onder motorkap;;;;;;;;;;;;;
25ZFZH;Personenauto;FERRARI;360;20230909;20080903;coupe;ROOD;Niet geregistreerd;8;1375;1475;20040701;20080124;Geen verstrekking in Open Data;Ja;2;4;0;0;448;0;M1;1720;0;0.20;260;Nee;Nee;Nee;0;2022;Geen oordeel;05;Ja;2023-09-09T00:00:00.000;2008-09-03T00:00:00.000;2004-07-01T00:00:00.000;2008-01-24T00:00:00.000;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;49600;2;3586;1720;op bodemplaat onder r. voorzitting;;;;e3*98/14*0043*06;AB;E;0;G;;;;;
26JKGZ;Personenauto;FERRARI;348 TS E2;20190529;20020503;coupe;ROOD;Niet geregistreerd;8;1480;1580;19930506;20020503;Geen verstrekking in Open Data;Ja;2;4;;;;;M1;1680;;0.00;245;Nee;Nee;Nee;;2018;Geen oordeel;05;Ja;2019-05-29T00:00:00.000;2002-05-03T00:00:00.000;1993-05-06T00:00:00.000;2002-05-03T00:00:00.000;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;38346;;;1680;op r. balk onder motorkap;0;;;;;;;;;;;;
26NNRF;Personenauto;FERRARI;400 AUTOMATIC I;20170911;20220221;sedan;BLAUW;Niet geregistreerd;12;1870;1970;19810601;20040107;Geen verstrekking in Open Data;Nee;2;4;0;0;0;0;M1;0;0;0.00;270;Nee;Nee;Nee;0;2022;Geen oordeel;01;Ja;2017-09-11T00:00:00.000;2022-02-21T00:00:00.000;1981-06-01T00:00:00.000;2004-01-07T00:00:00.000;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;25449;;;;r. op dwarsbalk in motorruimte;0;;;;;;;;;;;;
26TPJ5;Personenauto;FERRARI;430;20231013;20150720;cabriolet;ROOD;Niet geregistreerd;8;1495;1595;20060101;20120320;Geen verstrekking in Open Data;Ja;2;4;;;;;M1;1720;;0.22;260;Nee;Nee;Nee;;2022;Geen oordeel;05;Ja;2023-10-13T00:00:00.000;2015-07-20T00:00:00.000;2006-01-01T00:00:00.000;2012-03-20T00:00:00.000;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;69045;2;4308;1720;op bodemplaat onder r. voorzitting;0;;;;;;;;;;;;
